CMDLINE /app/.heroku/python/bin/python app.py
MEM 24.472656 1525308237.4425
MEM 24.472656 1525308237.5430
MEM 24.472656 1525308237.6437
MEM 24.472656 1525308237.7442
MEM 24.472656 1525308237.8447
MEM 24.472656 1525308237.9452
MEM 24.472656 1525308238.0459
MEM 24.472656 1525308238.1466
MEM 24.472656 1525308238.2471
MEM 24.472656 1525308238.3477
MEM 24.472656 1525308238.4483
MEM 24.472656 1525308238.5489
MEM 24.472656 1525308238.6494
MEM 24.472656 1525308238.7500
MEM 24.472656 1525308238.8504
MEM 24.472656 1525308238.9509
MEM 24.472656 1525308239.0514
MEM 24.472656 1525308239.1520
MEM 24.472656 1525308239.2526
MEM 24.472656 1525308239.3533
MEM 24.472656 1525308239.4539
MEM 24.472656 1525308239.5546
MEM 24.472656 1525308239.6552
MEM 24.472656 1525308239.7557
MEM 24.472656 1525308239.8560
MEM 24.472656 1525308239.9565
MEM 24.472656 1525308240.0570
MEM 24.472656 1525308240.1576
MEM 24.472656 1525308240.2581
MEM 24.472656 1525308240.3586
MEM 24.472656 1525308240.4591
MEM 24.472656 1525308240.5596
MEM 24.472656 1525308240.6601
MEM 24.472656 1525308240.7606
MEM 24.472656 1525308240.8611
MEM 24.472656 1525308240.9617
MEM 24.472656 1525308241.0622
MEM 24.472656 1525308241.1628
MEM 24.472656 1525308241.2636
MEM 24.472656 1525308241.3641
MEM 24.472656 1525308241.4646
MEM 24.472656 1525308241.5652
MEM 24.472656 1525308241.6657
MEM 24.472656 1525308241.7663
MEM 24.472656 1525308241.8669
MEM 24.472656 1525308241.9674
MEM 24.472656 1525308242.0681
MEM 24.472656 1525308242.1687
MEM 24.472656 1525308242.2693
MEM 24.472656 1525308242.3699
MEM 24.472656 1525308242.4706
MEM 24.472656 1525308242.5711
MEM 24.472656 1525308242.6716
MEM 24.472656 1525308242.7723
MEM 24.472656 1525308242.8730
MEM 24.472656 1525308242.9736
MEM 24.472656 1525308243.0742
MEM 24.472656 1525308243.1746
MEM 24.472656 1525308243.2750
MEM 24.472656 1525308243.3757
MEM 24.472656 1525308243.4764
MEM 24.472656 1525308243.5768
MEM 24.472656 1525308243.6774
MEM 24.472656 1525308243.7779
MEM 24.472656 1525308243.8785
MEM 24.472656 1525308243.9790
MEM 24.472656 1525308244.0795
MEM 24.472656 1525308244.1800
MEM 24.472656 1525308244.2804
MEM 24.472656 1525308244.3809
MEM 24.472656 1525308244.4813
MEM 24.472656 1525308244.5827
MEM 24.472656 1525308244.6832
MEM 24.472656 1525308244.7836
MEM 24.472656 1525308244.8842
MEM 24.472656 1525308244.9847
MEM 24.472656 1525308245.0852
MEM 24.472656 1525308245.1857
MEM 24.472656 1525308245.2863
MEM 24.472656 1525308245.3868
MEM 24.472656 1525308245.4873
MEM 24.472656 1525308245.5878
MEM 24.472656 1525308245.6883
MEM 24.472656 1525308245.7888
MEM 24.472656 1525308245.8893
MEM 24.472656 1525308245.9898
MEM 24.472656 1525308246.0901
MEM 24.472656 1525308246.1907
MEM 24.472656 1525308246.2912
MEM 24.472656 1525308246.3916
MEM 24.472656 1525308246.4921
MEM 24.472656 1525308246.5926
MEM 24.472656 1525308246.6931
MEM 24.472656 1525308246.7937
MEM 24.472656 1525308246.8943
MEM 24.472656 1525308246.9948
MEM 24.472656 1525308247.0953
MEM 24.472656 1525308247.1958
MEM 24.472656 1525308247.2963
MEM 24.472656 1525308247.3967
MEM 24.472656 1525308247.4973
MEM 24.472656 1525308247.5978
MEM 24.472656 1525308247.6985
MEM 24.472656 1525308247.7990
MEM 24.472656 1525308247.8995
MEM 24.472656 1525308248.0000
MEM 24.472656 1525308248.1007
MEM 24.472656 1525308248.2011
MEM 24.472656 1525308248.3016
MEM 24.472656 1525308248.4021
MEM 24.472656 1525308248.5026
MEM 24.472656 1525308248.6031
MEM 24.472656 1525308248.7036
MEM 24.472656 1525308248.8041
MEM 24.472656 1525308248.9046
MEM 24.472656 1525308249.0051
MEM 24.472656 1525308249.1056
MEM 24.472656 1525308249.2061
MEM 24.472656 1525308249.3066
MEM 24.472656 1525308249.4071
MEM 24.472656 1525308249.5076
MEM 24.472656 1525308249.6081
MEM 24.472656 1525308249.7086
MEM 24.472656 1525308249.8091
MEM 24.472656 1525308249.9097
MEM 24.472656 1525308250.0103
MEM 24.472656 1525308250.1108
MEM 24.472656 1525308250.2114
MEM 24.472656 1525308250.3118
MEM 24.472656 1525308250.4124
MEM 24.472656 1525308250.5129
MEM 24.472656 1525308250.6134
MEM 24.472656 1525308250.7139
MEM 24.472656 1525308250.8145
MEM 24.472656 1525308250.9150
MEM 24.472656 1525308251.0155
MEM 24.472656 1525308251.1163
MEM 24.472656 1525308251.2168
MEM 24.472656 1525308251.3174
MEM 24.472656 1525308251.4179
MEM 24.472656 1525308251.5185
MEM 24.472656 1525308251.6190
MEM 24.472656 1525308251.7195
MEM 24.472656 1525308251.8201
MEM 24.472656 1525308251.9205
MEM 24.472656 1525308252.0210
MEM 24.472656 1525308252.1215
MEM 24.472656 1525308252.2220
MEM 24.472656 1525308252.3225
MEM 24.472656 1525308252.4230
MEM 24.472656 1525308252.5235
MEM 24.472656 1525308252.6241
MEM 24.472656 1525308252.7246
MEM 24.472656 1525308252.8251
MEM 24.472656 1525308252.9257
MEM 24.472656 1525308253.0264
MEM 24.472656 1525308253.1270
MEM 24.472656 1525308253.2276
MEM 24.472656 1525308253.3281
MEM 24.472656 1525308253.4286
MEM 24.472656 1525308253.5291
MEM 24.472656 1525308253.6297
MEM 24.472656 1525308253.7304
MEM 24.472656 1525308253.8312
MEM 24.472656 1525308253.9318
MEM 24.472656 1525308254.0324
MEM 24.472656 1525308254.1330
MEM 24.472656 1525308254.2335
MEM 24.472656 1525308254.3340
MEM 24.472656 1525308254.4345
MEM 24.472656 1525308254.5350
MEM 24.472656 1525308254.6356
MEM 24.472656 1525308254.7360
MEM 24.472656 1525308254.8365
MEM 24.472656 1525308254.9370
MEM 24.472656 1525308255.0375
MEM 24.472656 1525308255.1387
MEM 24.472656 1525308255.2393
MEM 24.472656 1525308255.3409
MEM 24.472656 1525308255.4415
MEM 24.472656 1525308255.5421
MEM 24.472656 1525308255.6426
MEM 24.472656 1525308255.7432
MEM 24.472656 1525308255.8439
MEM 24.472656 1525308255.9444
MEM 24.472656 1525308256.0449
MEM 24.472656 1525308256.1454
MEM 24.472656 1525308256.2459
MEM 24.472656 1525308256.3465
MEM 24.472656 1525308256.4470
MEM 24.472656 1525308256.5476
MEM 24.472656 1525308256.6482
MEM 24.472656 1525308256.7489
MEM 24.472656 1525308256.8494
MEM 24.472656 1525308256.9499
MEM 24.472656 1525308257.0505
MEM 24.472656 1525308257.1510
MEM 24.472656 1525308257.2514
MEM 24.472656 1525308257.3519
MEM 24.472656 1525308257.4525
MEM 24.472656 1525308257.5529
MEM 24.472656 1525308257.6534
MEM 24.472656 1525308257.7539
MEM 24.472656 1525308257.8545
MEM 24.472656 1525308257.9550
MEM 24.472656 1525308258.0556
MEM 24.472656 1525308258.1561
MEM 24.472656 1525308258.2566
